Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,2.0,240.0,0.0,0.0020728852186890413,0.043542130374629166,1.0,0.75,28.0,0.0,1.0
black-friday,1.0,784.0,0.35409715281380205,0.0003015224855055053,0.0,4.0,0.25,16.0,1.0,0.0
california,3.0,848.0,0.0,0.0021351667826428706,0.0,2.0,0.75,8.0,0.0,0.0
churn,2.0,944.0,0.3106053446158221,0.0012640821656950175,0.001719452790654099,3.0,0.25,8.0,1.0,1.0
covtype2,3.0,368.0,0.1501920237689005,0.0013113404993972484,0.0011486171980175687,2.0,0.5,20.0,1.0,1.0
diamond,4.0,80.0,0.0,0.001322309222077499,0.0,2.0,0.25,24.0,0.0,0.0
higgs-small,2.0,400.0,0.12482951522033853,0.0023454089987722583,0.0001645226322399676,3.0,0.5,16.0,1.0,1.0
house,2.0,704.0,0.12607945333160558,0.000127986116817135,0.0010027642244603457,2.0,0.25,24.0,1.0,1.0
microsoft,1.0,64.0,0.13549954918479226,0.0014512660612581755,0.0989017129971717,4.0,0.25,20.0,1.0,1.0
otto,3.0,880.0,0.4770813507606442,0.00024033347504562316,0.0532628380802678,1.0,0.5,12.0,1.0,1.0
AVERAGE,2.3,531.2,0.16783843896959055,0.0012572301025900374,0.019974203829744065,2.4,0.425,17.6,0.7,0.7
