Dataset,mean,std
adult,0.8564134062199291,0.002075051110482291
black-friday,-0.6972443834865331,0.0015085093169256106
california,-0.4937511946102752,0.005849275164312429
churn,0.8543000000000001,0.002366431913239855
covtype2,0.964770846421062,0.0010624254911423443
diamond,-0.14460306963462216,0.0021606893430190536
higgs-small,0.7145198028216896,0.0015741695069043406
house,-31695.10520580435,545.9428211105414
microsoft,-0.7510481124274229,0.0006854292891399884
otto,0.8089797457444516,0.0018174491075263063
