Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.k,has_dropout,has_weight_decay
Ailerons,2.0,613.3333333333334,0.20791031006285124,0.00210520669614267,0.008067399865999116,32.0,1.0,0.6666666666666666
Brazilian_houses,2.0,778.6666666666666,0.004444166662268671,0.0021023675458187474,0.003140437460212296,32.0,0.3333333333333333,0.3333333333333333
KDDCup09_upselling,3.3333333333333335,336.0,0.12462245941287588,0.0008950439271058975,0.0,32.0,0.3333333333333333,0.0
MagicTelescope,3.3333333333333335,421.3333333333333,0.13936790547583425,0.0013630552962822038,0.009368656618340616,32.0,0.3333333333333333,1.0
MiamiHousing2016,4.0,634.6666666666666,0.030645602927502614,0.0017802417715085926,0.001450600498402045,32.0,0.3333333333333333,0.3333333333333333
MiniBooNE,3.0,1008.0,0.0,0.0025898341089510414,0.024384702663541025,32.0,0.0,1.0
OnlineNewsPopularity,2.0,832.0,0.0,0.0016250310047884735,0.00017560180370122442,32.0,0.0,1.0
adult,3.0,496.0,0.06181175728560897,0.0016541958790789535,0.0,32.0,1.0,0.0
analcatdata_supreme,3.0,553.6,0.08465324346354207,0.0007233081246761726,0.016389310350314178,32.0,0.4,0.6
bank-marketing,3.0,576.0,0.04633376431723301,0.001234234431017181,0.0075984099711389995,32.0,0.3333333333333333,0.3333333333333333
black-friday,1.0,976.0,0.0,0.0008223067222420459,0.004292830068500094,32.0,0.0,1.0
california,3.0,416.0,0.18105358774836164,0.00010149728211158224,0.00018958624986994033,32.0,1.0,1.0
churn,3.0,736.0,0.45353608208111235,0.0006190067987407164,0.00309166818098747,32.0,1.0,1.0
cooking-time,1.0,416.0,0.0,0.00012065020494450812,0.07000081679295954,32.0,0.0,1.0
covtype2,4.0,928.0,0.03618416321819486,0.00022432610756456376,0.0,32.0,1.0,0.0
cpu_act,3.3333333333333335,741.3333333333334,0.030616302892155167,0.0017984683635488092,0.0332788848199204,32.0,0.3333333333333333,0.6666666666666666
credit,1.5,856.0,0.03391080355497497,0.0005841764425752994,0.0,32.0,0.5,0.0
delivery-eta,2.0,752.0,0.18437573041970334,0.0025639267063470926,0.0507074044872309,32.0,1.0,1.0
diamond,4.0,112.0,0.0,0.002170810958387239,0.040882091073906904,32.0,0.0,1.0
ecom-offers,1.0,960.0,0.0,0.00024262819114537424,0.0001501852317298042,32.0,0.0,1.0
elevators,4.0,840.0,0.0,0.001416945005846214,0.057990517109506985,32.0,0.0,1.0
fifa,3.0,488.0,0.0,0.0006390508625541316,9.332238485560631e-05,32.0,0.0,0.5
higgs-small,4.0,544.0,0.26264529026853445,0.0008637539259001794,0.0,32.0,1.0,0.0
homecredit-default,2.0,848.0,0.0,0.000863572877808695,0.09519054430767127,32.0,0.0,1.0
homesite-insurance,3.0,704.0,0.0,0.0018580623030886075,0.0001614529849348179,32.0,0.0,1.0
house,4.0,560.0,0.0,0.0020102380762861225,0.0018256269973497313,32.0,0.0,1.0
house_sales,4.0,688.0,0.15188273757116788,0.00047106072521590375,0.02684058085582287,32.0,1.0,1.0
isolet,4.0,938.6666666666666,0.12071129751777325,0.001972083063657828,0.0014097865102833346,32.0,1.0,0.6666666666666666
jannis,4.0,176.0,0.0,0.002643634124375633,0.00012025100310092103,32.0,0.0,1.0
kdd_ipums_la_97-small,2.3333333333333335,810.6666666666666,0.1783823724622325,0.0011827629279770639,0.0006128539560053499,32.0,0.6666666666666666,0.6666666666666666
maps-routing,3.0,480.0,0.0,0.0006651177618565274,0.014013491162891908,32.0,0.0,1.0
medical_charges,4.0,992.0,0.0,0.0003547493761010076,0.0334629368374916,32.0,0.0,1.0
microsoft,4.0,368.0,0.0,0.0009709701347974493,0.09535008365248686,32.0,0.0,1.0
nyc-taxi-green-dec-2016,3.0,784.0,0.0908839334538931,0.00017828557525718816,0.0,32.0,1.0,0.0
otto,2.0,992.0,0.14229061821022512,0.0022334994239740706,0.0003073514261524963,32.0,1.0,1.0
particulate-matter-ukair-2017,2.0,416.0,0.0,0.0011056342367170178,0.04611896241938488,32.0,0.0,1.0
phoneme,2.6,649.6,0.02414728555188641,0.0013905418455731303,0.009631770575240284,32.0,0.6,0.8
pol,3.5,304.0,0.05724106715080811,0.0016411877597955222,0.00019483707234829967,32.0,0.5,0.5
road-safety,3.0,896.0,0.44956033841649623,0.0006791149550840584,0.0,32.0,1.0,0.0
sberbank-housing,3.0,256.0,0.3128700072370906,0.0008922700423431547,0.00021333759467820313,32.0,1.0,1.0
superconduct,4.0,528.0,0.0,0.0017808373745982968,0.0,32.0,0.0,0.0
weather,3.0,896.0,0.0,0.0023803769535513893,0.0002535623955566654,32.0,0.0,1.0
wine,3.6,684.8,0.036992066125815,0.0010327290158990404,0.02207655376437937,32.0,0.4,1.0
wine_quality,3.3333333333333335,970.6666666666666,0.04506046045717802,0.0019366145277701589,7.138095989376125e-05,32.0,0.6666666666666666,0.3333333333333333
year,4.0,400.0,0.4968036080156015,0.001409201004340121,0.000326693734663566,32.0,1.0,1.0
AVERAGE,2.9970370370370367,652.3851851851853,0.08864304359913158,0.0012865024542965708,0.01509854408536563,32.0,0.4385185185185185,0.6977777777777777
