method,0
tabm-piecewiselinear,1.565217391304348
tabm-mini-piecewiselinear,1.7826086956521738
tabm,2.3043478260869565
taba-piecewiselinear,2.608695652173913
MNCA-periodic,2.6956521739130435
CatBoost,2.8260869565217392
TabR-periodic,3.0434782608695654
MLP-piecewiselinear,3.130434782608696
XGBoost,3.130434782608696
LightGBM,3.217391304347826
MNCA,3.391304347826087
T2G,3.5217391304347827
TabR,3.608695652173913
FT-T,3.869565217391304
SAINT,3.869565217391304
MLP,4.217391304347826
Excel-plugins,4.217391304347826
