method,OnlineNewsPopularity,churn,sberbank-housing,wine
CatBoost,0.8532,0.8582,0.2482,0.7994
Excel-plugins,0.8605,0.8618,0.2533,0.7631
FT-T,0.8629,0.8593,0.2440,0.7755
LightGBM,0.8546,0.8600,0.2468,0.7890
MLP,0.8643,0.8553,0.2529,0.7778
MLP-piecewiselinear,0.8585,0.8580,0.2383,0.7814
MNCA,0.8651,0.8595,0.2593,0.7911
MNCA-periodic,0.8647,0.8606,0.2448,0.7867
SAINT,0.8600,0.8603,0.2467,0.7684
T2G,0.8632,0.8613,0.2416,0.7733
TabM,0.8579,0.8605,0.2439,0.7943
TabMmini-piecewiselinear,0.8563,0.8606,0.2334,0.7839
TabR,0.8677,0.8599,0.2820,0.7936
TabR-periodic,0.8624,0.8625,0.2542,0.7804
XGBoost,0.8545,0.8605,0.2419,0.7949
taba-moe-piecewiselinear,0.8609,0.8521,0.2404,0.7834
