method,KDDCup09_upselling ↑,MagicTelescope ↑,OnlineNewsPopularity ↓,bank-marketing ↑,churn ↑,credit ↑,fifa ↓,house ↓,kdd_ipums_la_97-small ↑,medical_charges ↓,phoneme ↑,pol ↓,wine ↑,wine_quality ↓
CatBoost,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,7.0,1.0,1.0
Excel-plugins,2.0,3.0,7.0,2.0,1.0,2.0,2.0,5.0,1.0,5.0,3.0,6.0,3.0,3.0
FT-T,1.0,2.0,9.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,3.0
LightGBM,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,6.0,2.0,8.0,1.0,1.0
MLP,3.0,2.0,10.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,9.0,2.0,3.0
MLP-piecewiselinear,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0
MNCA,1.0,2.0,11.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,9.0,1.0,1.0
MNCA-periodic,1.0,2.0,10.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0
SAINT,1.0,2.0,7.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,3.0
T2G,1.0,2.0,9.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,5.0,2.0,3.0
TabR,2.0,1.0,12.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,9.0,1.0,2.0
TabR-periodic,2.0,1.0,9.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0
XGBoost,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,7.0,2.0,8.0,1.0,1.0
retransformer-aux-periodic,3.0,2.0,9.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0
retransformer-periodic,13.0,13.0,8.0,1.0,2.0,3.0,13.0,5.0,13.0,4.0,13.0,13.0,1.0,13.0
tabm,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0
tabm-mini-piecewiselinear,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
tabm-piecewiselinear,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
